"day","name","lists"
21,"Inside ban radius",6
21,"Outside ban radius",9
22,"Inside ban radius",86
22,"Outside ban radius",79
23,"Inside ban radius",13
23,"Outside ban radius",6
24,"Inside ban radius",70
24,"Outside ban radius",64
25,"Inside ban radius",9
25,"Outside ban radius",9
26,"Inside ban radius",6
26,"Outside ban radius",5
27,"Inside ban radius",4
28,"Inside ban radius",4
28,"Outside ban radius",1
29,"Inside ban radius",6
29,"Outside ban radius",1
30,"Inside ban radius",36
30,"Outside ban radius",36
31,"Inside ban radius",5
31,"Outside ban radius",1
32,"Inside ban radius",4
33,"Inside ban radius",4
34,"Inside ban radius",4
35,"Inside ban radius",4
36,"Inside ban radius",3
37,"Inside ban radius",3
37,"Outside ban radius",1
38,"Inside ban radius",2
39,"Inside ban radius",34
39,"Outside ban radius",28
40,"Inside ban radius",25
40,"Outside ban radius",27
41,"Inside ban radius",29
41,"Outside ban radius",24
42,"Inside ban radius",16
42,"Outside ban radius",12
43,"Inside ban radius",28
43,"Outside ban radius",19
44,"Inside ban radius",39
44,"Outside ban radius",27
45,"Inside ban radius",39
45,"Outside ban radius",22
46,"Inside ban radius",15
47,"Inside ban radius",8
47,"Outside ban radius",7
48,"Inside ban radius",7
48,"Outside ban radius",2
49,"Inside ban radius",27
49,"Outside ban radius",17
50,"Inside ban radius",5
50,"Outside ban radius",5
51,"Inside ban radius",9
51,"Outside ban radius",12
52,"Inside ban radius",9
52,"Outside ban radius",9
53,"Inside ban radius",3
53,"Outside ban radius",4
54,"Inside ban radius",4
54,"Outside ban radius",5
55,"Inside ban radius",8
55,"Outside ban radius",5
56,"Inside ban radius",4
56,"Outside ban radius",4
57,"Inside ban radius",2
57,"Outside ban radius",1
58,"Inside ban radius",9
58,"Outside ban radius",2
59,"Inside ban radius",8
60,"Inside ban radius",8
60,"Outside ban radius",2
61,"Inside ban radius",5
61,"Outside ban radius",1
62,"Inside ban radius",22
62,"Outside ban radius",16
